Questions,Responses,Question number,Transcripts
"you said that your involvement was at the beginning, when you had to provide technical details and then to help in the needs assessment. so, i was asking when the feasibility study was available with the different ppp designs or models that were proposed, were you not involved or attended in any meeting where they presented these designs?",i can imagine. ,24,rwa-int-pe_2022_02_10
we see then you haven't heard about anything about a ppp for the lab network. i was actually looking at the questions that we have based on your feedback.,"somehow, they address some of the important issues that we had such as availing reagents on time and also having to plan together for payment ahead of time. but it is a bit limiting as well because in case they don't perform well there is delay and you always have to wait for the same person to handle the tests. also, they can choose to perform well, or limit in their expertise i think we have had some case where all the promised services were not provided as it is written in the contracts. so, there are pros and cons to the ppp that exists already. but i would say that, comparing to the non-ppp the other contracts that we have there for equipment, it is far better. currently, having a ppp is far better than having to depend for ourselves to buy an equipment one by one.",25,rwa-int-pe_2022_02_10
"you didn't have any information about this ahdp-ppp. so nothing about, no discussion around the co-management that they proposed at some points or about the privatization.","to some extent yes, but not at the beginning but during the management of the contract, and also during the renewal when i was in this.",26,rwa-int-pe_2022_02_10
"okay. so let's then keep it in general, based on your knowledge of the lab network that we have and then as a biomedical engineer, you know, so the equipment that we have, would you thinkfor example how should an ideal ppp accommodate the needs of priority population for example if we have to designa pppfor public private partnership in lab diagnostic, how should it be designed so that we accommodate the needs of our priority population like the poorest households , andpeople with very complicated diseases.","the first one is, maybe to ensure that the terms are beneficial to both sides equally. because after signature one must ensure that the services are being offered continuously in quality, quantity and in a safe manner. but also, we saw that there was less capacity building for the ppp system, so i would definitely focus on having some capacity building for the hospitals which can benefit both the supplier and the client, in terms of having someone who can do small repairs who can do preventive maintenance and then who can do troubleshooting so that the services are not delayed or stopped. and the supplier would still keep some of the most important or the difficult services to handle so i would say that i would look at the terms very carefully and have them benefit both parties, especially our people in the field.",27,rwa-int-pe_2022_02_10
"so, it's very difficult when iâ€™m looking at keeping it general not going into this ahdp-ppp ","so, i would say the most important is the patient the beneficiary, and why, because they're the ones who receive the services, the services should be the best they can get at time also with providing full information. i would also think hospitals or other clinicians, because having a good network with good machine of full best options that are operational can be an advantage. so, they are very much important in the network.",28,rwa-int-pe_2022_02_10
"yeah, when you look at the ppp that we have currently let's use the ppp that we have currently in place in rwanda. do you think that they address the real needs of the people, and if no, what are the areas that we can improve and how can we improve those areas?","again, i would say we wish who benefit the most is the patient, still they are the ones who benefits most of the time. because that is what we are doing to satisfy the clients the ppp is solving a problem in terms of quality in terms of time and services.but if you consider the contractor and the partner, or if you consider the government and the partner. i think they both have the same stake. they both have to ensure that they will provide the services to their satisfaction of the other party.",29,rwa-int-pe_2022_02_10
"and then, were you involved in other ppp for example the ppp with abbott",any institution?,30,rwa-int-pe_2022_02_10
"and then, what can we learn from this experience? what are the main lessons that you learned from or still learning even from this ppp?","depends on which point of view, where are you coming from. if i'm to speak as a government employee i would say it will depend on the benefits that the government will be getting.and in this case, i think, no one is being threatened because it's an added value for the people for the government, there is some improvements because this is reducing the investments that are being done irregularly or the problem of not giving the full services that we want, this can solve the problems of delay.",31,rwa-int-pe_2022_02_10
"when you do a ppp like this, were there key stakeholders and why were they involved?","yeah, in rwanda there are lots of companies, i can think of about 10 supplying lab equipment.but they are more than 10.",32,rwa-int-pe_2022_02_10
"so, the next question is about we are looking, we want to know who benefits the most when there is public-private partnership lab diagnostic who do you think benefit the most?","yeah, different types of equipment of lab equipment.",33,rwa-int-pe_2022_02_10
"yeah, i was asking this question because the next one is really to try to understand is there anyone or any institution that can be threatened by the fact that the government is going into partnership with a private actor in the lab diagnostics? ","so, mostly for lab, we see ppp happening for big equipment those that require a lot of reagents those are the ones often used as they are the ones that accept to have ppp kind of contracts, and also there is a portfolio that is required because smaller companies, smaller firms they don't, like to wait, they prefer to sell and just leave. so it's mostly the big equipment, those that require a lot of reagents, and those that are backed by an important portfolio.",34,rwa-int-pe_2022_02_10
yes,"so incentives, there are two kinds of incentives, there is one which i will not maybe have more details on, the one provided by rdb. if a company that is coming to invest in rwanda or with an important portfolio, there are some incentives on taxes or on investment that i canâ€™t give the details of because i don't know, but with us, with rbc, with nrl, mostly we provide the support they need we might provide them space where to install their machines, even the way to work. there are different possibilities, which can be discussed, but the one that comes to mind is the availability of an infrastructure or a space where to work from.and, of course we planned together and we gave the support technically, where they need.",35,rwa-int-pe_2022_02_10
"okay. do we have many suppliers of lab equipment? apart from abbott, and roche, do we have others?","i think, as you know, the government of rwanda works with different development partners there are budgets provided by the world bank, global fund, cdc and i think that is going to continue with some point of course, i can't attest on that. but we are continuing to make inquiries contact new development partners i wouldn't say a final list, but those are the main ones.",36,rwa-int-pe_2022_02_10
they are more than 10?,"you know, the national laboratories presently improving on their services, to be able to monetize, some of the services and well not privatized but to get some income.so that's one way to increase the funds used in lab. but also, there are local partners, potential partners that are available we saw during this covid, a lot of rwandan companies responded to the call to support technically or financially and provided donations but also the partnership was good. so, i see potential as well for local companies, local institutions and also, of course nrl activities.",37,rwa-int-pe_2022_02_10
"and the next question is about private partners, and if there is a ppp so how interested are private partners in participating in ppp, we want to understand what the main questions are when it comes to participating in the ppp. so what are the biggest incentives to participate in the ppp, and on the other hand what are the drawbacks for them?","maybe just one example is the covid19 testing services, theyâ€™re generating some income from that.",38,rwa-int-pe_2022_02_10
when you say important portfolio what do you mean exactly? ,"not really, just want to thank you for involving me and i would be happy to answer any follow up question.",39,rwa-int-pe_2022_02_10
"that can be able to recruit local representative after installation those that can even bring reagents in advance and be ready to supply at a moment notice, and contracting with the government means that there will be emergencies. let's say if there's an estimation of the quantity that is needed, there will be always surplus or less. so, someone who was able to be flexible and is not threatened by small limitations or small challenges and can be able to have trained technicians who are ready to support technically for the maintenance repairs and everything at a moment notice. and also, most of them do not have replacement equipment, they can't afford to have equipment to supply once one is broken.","thank you dr. so, my involvement in the ppp project. firstly, from the sector level, ministry of health with the partners in this because we have been dealing with public private partnership projects, as usual in other sectors, and in this most diagnostic in better improving quality of service in the laboratory. we thought of also having a public private partnership for improved care. so my involvement in the project lead, has been coordinating the teams of this project that is from the ministry of health, their partners and rbc and also rdb, so i've been coordinating to this work, day and, right, the feasibility study showed us, as in areas of improvement in the quality of service delivered by our laboratories currently. and why do we need a ppp model. so my role has been the coordination role from the ministry level.",40,rwa-int-pe_2022_02_10
"so, yeah, that's interesting. so what you have listed may be considered as drawbacks for some of the potential private partners that wants to engage in ppp.but then what are the incentives for them to come and work with you as the government what will motivate them, what are the different factors that can motivate them to participate?","as i said, we first had a problem statement, why are we going for a ppp. there was an issue of improving our quality of care, the delivery of services in the laboratories in public hospitals, and in line with also the national reference lab. this happened some years back, realizing that there were some inefficiencies and issues to deliver the quality of care in testing and result delivery being good on time, so leaders thought of what they can do to improve and they decide to do a feasibility study with the support of obviously different partners and rdb because if you want to bring in public private partnership then you involve rdb. but that was before we had to talk to minister we wanted to improve quickly, then they had to do the feasibility study, to see, i would call it like a situation analysis, what has been done and how can we improve what has been done you know for the quality of care to be achieved. so, the feasibility study showed different six issues that did the laboratory are facing in the hospitals.i cannot remember, most of them but i will tell you, one of them was in the delayed results delivery from where the samples were taken to from the patient,sampling site . but the diagnosis that will be made after the results delivery are good. so, one of the six recommendations was let us improve the sample transportation to have the delivery of the results on time. another one was also to improve the management how they did, so they could make some money and also the capacity of staff, you know, we had to sit back and say, okay, this has to be faced, we cannot take on over the six recommendations at the go? but where do we go first. and with that is most pressing for the country, maybe for the laboratories then we say,, let's first deal with sample transportation. and this would start with a piloting phase of a ppp, and then we see what this will produce. so the negotiation was around how it should be a first implementation of the recommendations from the feasibility study and phase one was sample transportation to be under that ppp. so, and that's where the negotiation started how do we start, do we start by piloting and then after six months implementing the sample transportation we would do transition to full co-management of this. the full ppp managing them, the whole laboratory services that was the plan actually after the results and assessment of the first ppp, that was the negotiation and that's where we are. ",41,rwa-int-pe_2022_02_10
"what are, or, could be the plans in place to support public sector financing of diagnostic? so, for example, we have different sources of funding in rwanda for the health sector, what are these sources of funding that are expected to be used for financing the lab diagnostic? so now we have some source of funding but in the future, are we thinking about other source of funding?","yes, yes. sample transportation only",42,rwa-int-pe_2022_02_10
"yeah, and then locally, if you think about domestic resources, they need plan on how to leverage on these domestic resources to increase funding for lab diagnostic to support just like lab diagnostic in the future?","second would be a full, co-management, like lab co-management, like the private person who would take on some staff hiring/firing, new equipment supply chain all of that would be transitioned to the private partner. even though it would be transitioned to full co-management still moh, rbc would have the oversight and coordination, but actually the partner will be taking all of that.",43,rwa-int-pe_2022_02_10
"so, you were saying that nrl is improving services to generate more incomes. so, can you give more details on that? so, what are they exactly doing and these incomes come from people who are using services and which services exactly?",thank you.,44,rwa-int-pe_2022_02_10
"okay, so we tried to give the conversation, broad on ppp in general because based on your feedback you were not involved in the ahdp- ppp design process. ","i will say let start by the facility selection of what we had, like how the project look like let me focus on the first phase which i talked about the partial, how these are organized we had to sample out facilities, i will explain this when i will address the question of how the facilities were selected. first of all, we looked at the facilities in different hospitals, and their health centers in different provinces of the country according to geographical distribution. and why did we select, what made us choose those hospitals, we looked at. first of all, the volume, what are the volume of samples that we get from these hospitals? secondly, what is the catchment area? if there is no nearby laboratory that were were struggling to have the specialty laboratories lab tests not done. ",45,rwa-int-pe_2022_02_10
and so is there anything else you would like to discuss or add to this discussion on public private partnership in the lab that we did not discuss but you think that this is something important that we should know.,"yes, actually. the criteria why we selected them, they had satellite labs, because the way the project was designed was, we could have these satellites labs, be like, call them what sampling sites, i think like where the hubs is. the lab samples were brought at the satellite siteshubs , and they were collected at the hubs, then they are tested and results are given back, and those samples that wouldn't be tested at those satellite labs, then they're transported to the national lab. but those selected were like those used as the hubs in those provinces. criteria number two, the catchment area i talked about is attached to every hospital, we considered these catchment areas with its surrounding health centers within each hospital, i think they were around 59 centers, and six hospitals, i don't remember numbers well, because i don't have the numbers here sorry for that but the hospitals must have the catchment area thatâ€™s how health center was also considered.",46,rwa-int-pe_2022_02_10
"okay, thatâ€™s good. thank you. thank you very much for taking your time to discuss these ppp and also thank you for being open to any follow up questions in case we have.","yes, then they are brought to the hospital that one which has a satellite lab which make it called a hub.",47,rwa-int-pe_2022_02_10
"so, i will start with the first question asking you to describe your involvement in the public private partnership process, and the african has the diagnostic platform in rwanda.","what i saw along the areas of negotiation, the providers from rbc side. what we were looking at would be, how the ppp would look like in sample transportation, and this is a private person coming in the laboratory. and how would the lab be separable from the hospital. there were those worries, how are we bringing in this private person operating in the public hospital. and how the quality and the management would be assured in this. but this was discussed on and according the design, this was settled for the m&e. team framework were prepared to tackle and it was central coordinated transportation trucking, and also that trucking of delivery of samples and return of the result so this worry was discussed and was cleared. thatâ€™s was worry number one and worry number two was the expensive means of bringing in the ppp, the private person who will bring in increased costs on the test and there yet we have the mutuelle health insurance which will not cover the increase of cost in these tests, but we thought that this is going to be considered after the ppp model is agreed on. then it will be a discussion with the rssb to see how do we caterer. however, these were considered to be minimal like increment this small in the transportation cost for the samples, but it was needed to show what is the profit or the returnof investment to the government of rwanda is going to get from having a ppp instead of like working as a status core as it has been working. we thought why the government canâ€™t invest in improving the quality of laboratory services themselves as they know better the problem so then we change our status core instead of bringing in private person. then we discussed about the financial analysis and caches looking at the gains that the ppp model will bring up the growth that will be shared between the private and the government of rwanda after ppp timeline. we realized that it would take us a long time and much more investment to change the status core. ",1,rwa-int-pe_2022_02_08
"thank you, i saw that you have been well involved in ahdp at the highest level at the ministry of health. and also, you were in charge of coordinating these efforts. ","yes, because you talked about the peripheral laboratories which make the satellite laboratories, rbc only one reference lab, national reference lab but now we look at the improved transportation because we have the peripheral laboratories, the satellites whereby it will not now need someone from gisenyi saying to bring their samples to kigali.",2,rwa-int-pe_2022_02_08
"so, my third question that will be about the ppp design exactly? so, what was the process of negotiation over this ppp?","oh great, so i will tell you the stakeholders in thiswe had the minister of health taking the lead and coordination. we had rbc like implementing, who will be actually like the backbone of this for ppp project because they take care of laboratory services. we had chai, they were like development partner who was like, giving us technical support and who led the feasibility study with the consultants.",3,rwa-int-pe_2022_02_08
that ppp was the partial ppp.,minecofin was not yet involved.,4,rwa-int-pe_2022_02_08
the sample transportation would start first ? what was recommended next? ,"they were not yet involved.this was early discussion but this; if we could agree that this is the model, we would go to them because they will pay for this. the health insurances to pay for their patients, their clients,minecofin in terms of budgetif the ppp is approved at a technical level.",5,rwa-int-pe_2022_02_08
"oh, thank you very much for this response.","right. chai was the one bill and melinda gates used to pass the money through from the aspect of finance. but they were also giving the technical support. this is a dual role of chai. they were like really supportive and like they were giving guidance during the technical discussions and was supportive. so, they facilitated, i looked at them now and, actually, they were facilitator, irrespective that they had that financial aspect.",6,rwa-int-pe_2022_02_08
"how did this process vary by topic? if i can say so for example facility selection the procurement model contract type, including the referral network.","thank you. so, i would say it like this. as i told you there were six recommendations from the feasibility study on how to improve the quality of laboratory services. these six recommendations were grouped in two phases, as per our guidance, the moh choose to have a phased implementation or plan of the result of the recommendation.",7,rwa-int-pe_2022_02_08
"okay six hospitals from different provinces. yes. well, except the kibagabaga i see those other hospitals with these satellite labs. ","yes. there was a lot that was done to improve the testing capacity to improve the transportation, and so on and so on.",8,rwa-int-pe_2022_02_08
"so, the sample were transported from the health centers also?","to me the champion i think is rdb, rwanda development board. these are people who give guidance, these are people who actually even if there is a steering committee, the ppp will go there. they are like our support transport, hey are the champions.",9,rwa-int-pe_2022_02_08
"that's very good. oh okay, what were the sticking points around the ppp design, and how were well they resolved.","yeah, they proposed this, and then we started engaging for the policy level to involve everyone. they call for an innovative way, or ppp or another way of addressing these issues came from rbc.",10,rwa-int-pe_2022_02_08
"for the investment done in the lab, especially were caused by covid-19. so, what was the key point, was it like to see what will happen with this investment?","actually, during the course of all these negotiations, some discussions came in to improve our public laboratories without involving ppp because we are worried how to separate the hospitals from the laboratory because there was a worry.",11,rwa-int-pe_2022_02_08
"thank you very much. thatâ€™s was very informative. so, who has been involved in the initial design of the ppp?","yeah, i think what this means is to learn how they improved, we come to learn about this.",12,rwa-int-pe_2022_02_08
"what about minecofin,","it was from rbc side again, they were worried. but the hospitals, we had not yet engaged to them because you can never engage them when you are at the policy level and you have not yet agreed on this model.",13,rwa-int-pe_2022_02_08
what about the health insurance.,"it's the steering committee. all ppps go through the steering committee at the country level composed by rdb, moh and minecofin. all ppp initiatives are approved by the steering committee.",14,rwa-int-pe_2022_02_08
"okay! you said that the chai was helping in the technical aspect, especially for feasibility study.but also, the chai was as the ministry of health development partner. on the other hand, biding for these ppp. so, having this kind of financial aspect. what do you think about that?can you elaborate a little bit of this aspect of market? ","with some people from the international, i don't know, but i will check, but you know ",15,rwa-int-pe_2022_02_08
yeah. thank you very much so.,but not at institutional level.,16,rwa-int-pe_2022_02_08
"if i understand well, the cutoff point was investment done during the covid-19 ","i think i've been repeating these options. what we wanted was like you operate, and after five years you transfer back laboratory to the government to the public ownership. i'm not familiar with these terms, but this kind of management in the hands of the private partner for five years, and then after five years you transfer back the facility the laboratories to the government of rwanda. i don't know how they call it, but i've been seeing those terms. that's what's the option proposed.",17,rwa-int-pe_2022_02_08
"so, have there been any champions, supporting the ppp? who has been championing the ppp in rwanda?","yeah, sure.",18,rwa-int-pe_2022_02_08
"i do understand the rdb is championing all ppp because itâ€™s their mandate. but, regarding ppp in laboratories, who is the champion who brought the idea to the table to be discussed, did this come from rbc?","yes,",19,rwa-int-pe_2022_02_08
"have there been any other actors, trying to propose the opposite direction from the main actors working in the ppp.",yes. thatâ€™s how the project was built.,20,rwa-int-pe_2022_02_08
"and in india and kenya again, i think there were good results.","sort of complicated but not so complicated. to me, the appropriateness comes with what the country or the local context want. and this is what rwandaâ€™s case was, it was a good way that we already had wanted, and we proposed this. thatâ€™s why we went for a feasibility study. i think for the africa diagnostic health platform, its mandate or its work with the local context on the ppp was welcomed and was fitting in our need. ",21,rwa-int-pe_2022_02_08
"these ideas to not separate lab from hospitals were they coming from the implementers such as the hospitals, or policy makers?","you know, in rwanda we have the ppp guideline. so, that is already a legal aspect of that. i think the context welcomes the ppp model.",22,rwa-int-pe_2022_02_08
okay! thatâ€™s very good.,"i will start with the poor. like you rightly mentioned, these people are covered by mutuelle, cbhi, and in the ppp the testsout the specialty testwere supposed to be taken care of. they are already covered, and only the copayment would come for the categorization number three. the vulnerable with the poorest are covered by the government of rwanda subsidiaries, and they are covered. meaning that even the ppp will accommodate the existing structure. ",23,rwa-int-pe_2022_02_08
"so, which institution would have been ultimately responsible for approving the ppp design?","access was number one key recommendations. so, as we opted for sample transportation, in that phase one we are addressing access, because we wanted timely access of laboratory sampling and testing, and this was already addressed in the ppp model, ",24,rwa-int-pe_2022_02_08
"rdb, moh, minecofin","as i told you, co-ownership was to improve on supply procurement and supply for affordability. this has to be the cost to be covered by the insurance, as the same has been in negotiation with insurance of cbhi. i think i've addressed for affordability and availability, what are the other two?",25,rwa-int-pe_2022_02_08
i think there is minefra also,"for efficiency and the quality, i mentioned about setting controls on how the samples are taken and delivered. not to lose samples on the way. so, this was also addressed in the monitoring platform that was proposed. that was to be centrally monitored by rbc, moh, and the partner was to address quality and efficiency. actually, we needed timely and cost-effective model that would be changing the status core, if we have seen that there are inefficiencies. we wanted to eliminate the inefficiencies and this was also the design that was considered.",26,rwa-int-pe_2022_02_08
"what options were there? or, are still being considered on designing the model?","i don't think we have already a model, because we have not started it. so, i'm confused. i think we don't have it yet; we have a proposal.",27,rwa-int-pe_2022_02_08
"so, the contracting options are like so.","they are dual, it is like you are supporting and then you are on the finance side. to me, that would be a conflict of interest. but actually, we expect professionalism in this because we are looking at you want to have quality of diagnostic services in africa, in the selected countries. so, what i look at as living finance control, nothing can happen without finances, but also the platform should support, technically, and advise. technically, because we are independent, we are looking at what is worth, that would work best for us.. the effect should be positive, not the other way around to push us to do. i see people declaring no conflict of interest but i don't know how it would work in this situation.",28,rwa-int-pe_2022_02_08
if i understood wellthe private would have everything to manage,"actually, i think if that is very straightforward if it is this case. there is no support on this ppp from the side of ahdp.so, their support would mean a success of the ppp. i think it would be more valuable to have ahdp supporting the ppp to come into existence, because i think that their facilitation is very positive for the ppp to exist. ",29,rwa-int-pe_2022_02_08
and the government would oversee and then they transfer everything over five years.,"i look at evaluation, because we need these evaluations at the point of implementation. so, this would be hard. if we don't have an evaluator. and i think this would be affected if i could not have the platform supporting the ppp. and also, technical support and facilitation along the process of the ppp which is key because we have experts.",30,rwa-int-pe_2022_02_08
"and how appropriate is the design of african health diagnostic platform the ppp to the local context,","thank you. firstly, as i mentioned earlier, on the last statement i have mentioned, technical support you know the stakeholders in this project need to be for capacity to take on, and to lead the ppp discussions, and also the design. so, i'm looking at the ahdp starting in the starting phase of guidance and support discussions. and also, because you cannot come into the evaluation when you have not really supported the project. i understand you can't design and then evaluate, but also just to be sort of some technical support that is needed along the project to design and develop, and which improved the capacity of some the stakeholders in the project. so, that's my view on how i look at that technical support.",31,rwa-int-pe_2022_02_08
"so, at the levels of policy legal framework. there was one? was it fitting all these levels?",i'm not clear on that maybe if you can simplify it.,32,rwa-int-pe_2022_02_08
"so how would an ideal ppp design accommodate the needs of a priority population such as broadest household? there are complicated patients for example the comorbidities, the chronic conditions, how the ideal ppp design addresses the special need of mutuelle about the poorest households, the 25% of households whose mutuelle is paid by government.","oh, they have very much support to ppp as actually they allow a private investment in health. in terms of domestic resource mobilization for health, there were discussions on the initiatives on the african leadership meeting on domestic resource mobilization. so, i look at ppp as one way of investing, increasing private investment in the house in country. and if you look at the policy and regulation, i mentioned it earlier on, there is also an existing ppp guideline to allowprivate public partnership models coming into the health sector. ",33,rwa-int-pe_2022_02_08
"that's very good. so, would the ppp design address a key consideration to improve access of laboratory diagnostic? if ppp is proposed?","most of the policymakers would like to maintain the quality. if we give the private to deliver the services we have been delivering, this private partner should be in position to convince or to show a model that considers quality ahead of other things. otherwise, it's a management modality that has to be negotiated and i don't think there is much resistance on that. so, the concern would be, how do we maintain quality or how to improve quality with the private person in the laboratory services. ",34,rwa-int-pe_2022_02_08
"any elaboration on availability of test, the quality and efficiency also affordability in a ppp model?","one thing is that there are priorities in government that have to be achieved in different ways. also ppp is one of the ways like if we need to improve quality, if we need improve efficiency. so, in the lab this is one priority we have. you will find that there are existing policies and guidelines on that. i think this would be also a fitting way to address the priority of the country.",35,rwa-int-pe_2022_02_08
it was the quality and efficiency.,i don't think there are many things that i might know. but i can tell you about abbott.abbott laboratory has been one of the ppp models that has been working. may be african health diagnostic platform can learn or we can learn from that ppp design and implementation. ,36,rwa-int-pe_2022_02_08
so. which consideration is best served by the current design and why? ,"not really. i wasn't involved but i read, i read partly not deeply reports about the implementation. yeah, so, but i never involved in that.",37,rwa-int-pe_2022_02_08
"so, now we move for the next question. the question is what were the factors that you think changed the discussion around the ppp that i think it was covered.","i think that should be trust should be good, because this is where we are going to, because we are increasing, we are attracting more private investors to invest in health. and you can't attract someone you don't have trust, but as there should be a control mechanism that the public should put in place to know if, actually, what has been agreed on is what has been what is being implemented the ground so that the population is protected. i think that's all i can respond to that.",38,rwa-int-pe_2022_02_08
if africa health diagnostic platform is providing the technical support. and the facilitating financing for this ppp. how would the availability of this support affect the ppp design? ,"yeah. thank you so. actually, i would say that the investment is heavy from planning and budgeting process. for the laboratories, they are planning to purchase and procure equipment and we consider training of laboratory technicians who will be trained and deployed. also, we consider supply of consumables used in the lab. i think that is heavy investment from the side of government.",39,rwa-int-pe_2022_02_08
"maybe you would understand this in this way ahdp come without any conflict of interest, because it's just facilitated the ahdp do not look ahdp as chai. just. these are the melinda gates. there are european investment bank, and they are bringing in money, and also providing some technical support for. they are not, beading they are facilitating, chai.","at policy level, moh is very key because every day ppp has to be addressing the priority of the country. rbc, has to be there as implementers. and we also have health providers, these are the hospitals and they are very key. i will not forget the ministry of finance and economic planning.and also, the rdb is a key stakeholder for ppp. we also see our partners in health financing so these are very key stakeholders in the ppp model design discussions and also implementation.",40,rwa-int-pe_2022_02_08
"so, the question is now how the availability of the support affect the ppp so, ppp would have an added value, and which one.",the advantage number one is to address the identified gaps in the laboratory. the disadvantage as i mentioned before is quality.,41,rwa-int-pe_2022_02_08
"so, what are the features of the ppp design that would not be possible without ahdp technical support?","not all of them want it, but some have that ambiguity. the wonder if it will work well. for everything that is new, people will have to ask why we go for that. but they have to convince this with existence of this project elsewhere. and what were the results. and then i told you that this is tied to individuals. ",42,rwa-int-pe_2022_02_08
"so, what are the features of the ppp design that would not. how would you recommend african health diagnostic platforms, technical support being used to address any gaps?","addressing the gap of inefficiency, timeliness, and also improve the supply chain of the consumables and functionality of equipment and technologies.",43,rwa-int-pe_2022_02_08
now we move from the following set of discussion questions about the context of the ppp design. the next question would be how supportive is the existing policy legal and regulatory framework for the ppp.,"on the incentives for private investors in rwanda, we have many of them. and among them. first of all, if you want to invest that should be favorable for you financially, the banks are already there without the corporate income tax. there's a lot from the rdb sides, that most investors interested in, but from the health sector, there is already an incentive of available workforce. and they will be working in your company ppp project, and they are skilled., then the clients. that is need and i think all the investors would be interested to invest where there is demand.to realize the return on investment, those are the incentives for an investor, but there are other detailed investments incentives from rdb side",44,rwa-int-pe_2022_02_08
"so, considering the existing policies and regulations, and existing framework. how are they supportive to the ppp design?","i don't think this is a threatening point because these projects are not individualized. if there is a change in a position, it doesnâ€™t mean that everything is changed, and there is transfer of skills and knowledge, and also hand overs that are given to the changes in position. to me, i don't think this is a threatening.",45,rwa-int-pe_2022_02_08
so how much resistance among the policy makers will this ppp need to overcome?,i do agree,46,rwa-int-pe_2022_02_08
"thank you very much. so, how flexible is the ppp to change according to changes in the government, or government priorities.","it's valid the concern. to have threats that will be sluggish, all like lagging back because of lack of information for the new person. the project will be moving, if someone changes, not every team, because the team is built, still the actors will be in position to onboard the new leader or the new position person that has come in, so that it doesn't hamper their progress of the project, and the working relationship of ahdp on the ppp.",47,rwa-int-pe_2022_02_08
"yeah. so, what are other recent or earlier experience or a project to have there been in a country that you can provide the lessons for african health diagnostic platform. and that ppp that does exist in rwanda.","it is the population because we are delivering service to the population, also the government would be because its priority is to deliver quality service. thatâ€™s managed by the public or by the private but regardless of who provides these services, there will always be our population that is served.",48,rwa-int-pe_2022_02_08
were you involved in this?,benefit both ways. you want me to choose one depending on design? ,49,rwa-int-pe_2022_02_08
"so, how trusting collaborative, is the relationship between public and the private sector for the health.","my perspective, i'll tell you that i don't want to be decided because if we look for ppp, we are looking for a solution to address the issue. so, i will not choose between the two. my opinion would be if we can improve it publicly without involving the private person, then we should do that. and then the beneficiary will be served. if we cannot do this, and we need more investment from the private investment that is ok, and then this investor should come in, to work to the standard on the quality of service that the government would want so that our population is well served. that's my opinion though itâ€™s not exciting, but it's just looking at what are the end results that we want to achieve.",50,rwa-int-pe_2022_02_08
"well, thank you very much so. so, what has been the historic investment and interest from the government in the laboratory diagnostic? and what is profile of health workers, relative to the diagnostic system, including training, cadres","i think it's a win-win situation, because the government wants to improve the care and you as an investor you bringing in money to get return on investment. so, we should have a win -win situation. what have i invested and what have i gained and for the government, what have i achieved versus me not bringing this investor in this area?it must be a win-win situation.",51,rwa-int-pe_2022_02_08
"that's very good. yeah. so, who are the key stakeholders in the ppp and why are they involved?","i think it not affects but it aligns with dynamics of the county level. because it's coming into the area of ppp, and we already have it so i don't see any effect on that. and it has to align to existing government guidelines instructions. ",52,rwa-int-pe_2022_02_08
"how do they perceive, the advantage and disadvantage of the ppp.","i know but for the particular project we didn't go further, i think they would be interested because already have abbott, we have other private partners like lancet, you know.i think there will be in the same interest, but we didn't reach that stage.",53,rwa-int-pe_2022_02_08
"so, people do not want the ppp.","the plans to me, i will go back to what i mentioned earlier. all along in the national planning and priorities setting and selections. in order to have improved access to quality of care, testing is vital. testing and diagnostics for the health care provision are vital. and this has been always considered in planning phases from the ministry of health and taking care of all these other needed equipment, infrastructure for the laboratories, and this have to be actually financed by either the government or external refunding through resource mobilization. as this is annually or each and every yearâ€™s process, itâ€™s sustainable. and because we have to tell to a funder to take care of our diagnostic services in country, as i mentioned, they might be from the government ordinary budget, but many from external funding through resource mobilization. so, the same would be for the ppp. if you have the plans, then they would be considered in the national plans.",54,rwa-int-pe_2022_02_08
"yeah, and what are the advantages?",i mentioned them government and external funding.,55,rwa-int-pe_2022_02_08
"that's good. so, what are the incentive to participate in the ppp? what would attract the private sector to invest in lab of the people?","not really, it may not be that because if sustainability will be there., government puts much of the percentage. i would say actually the inverse, government around 80%, and external 20%, even maybe 10%, because you cannot ensure sustainability when you rely on external funding",56,rwa-int-pe_2022_02_08
"so, how threatening to the success of the ppp is the potential for turnover in key position among national actors.","it is straight but we don't have this already. so, i cannot respond to this.",57,rwa-int-pe_2022_02_08
"yeah, i do understand, but today i may be discussing with someone, who understand things and tomorrow, i discuss it with the recent who may not understand.","oh, for specifically this we're talking about? ",58,rwa-int-pe_2022_02_08
"and this is the reason of changing also the people, because the people are being changed for improvement like that. so, what do you say as that? as the health financing and the planning, policy.","oh, i donâ€™t think so.i wouldn't be talking of what has happened for with this specific project, but here we are not having it, we just stopped it, and we dumped it.",59,rwa-int-pe_2022_02_08
"thank you very much. so, whose interest, helped or hurt by the laboratory diagnostic happening in the public versus private sector.","thatâ€™s whatâ€™s i said, that is three years now, on every year we look at the needs and there must be increase on what was needed on the previous year. i think maybe like 20% increase. that's a across the whole priorities that have been budgeted.",60,rwa-int-pe_2022_02_08
