Questions,Responses,Question number,Transcripts
"so, from your standpoint, what are the key issues that the ppp that aims to improve lab diagnostic services should focus on or include to be successful?",think thats pertinent point definitely good management bad management break whole process break whole project vital things come contract negotiation youre putting adequate team team skilled knowledgeable partand ppp really comes help one objectives ppp public bodies relying private sector capacity expertise well even financing really know government institution public entity looking private sector partner bring extra level skill set might house even private sector could compliment negotiation important parties align management look like decision making processes place govern project,43,rwa-int-pe_2022_2_9
"and what about the management and finance and aslo the capacity, because when you started ppp you had also to ensure that you have the capacity in your institution. what do you think about that?",well dont know specifically answer lab diagnostic would probably give advantages disadvantages guess pursuing ppp really advantagesyou ability share risk partnersso thats public private usually risk allocated party equipped best equipped handle deal could financial risk technical risk whichever advantage share risk purposes project also ability rely private sector financing also relieves public sector know spending much certain key areas health educational housing whichever could allows public sector free bit budget depending contribution towards ppp also said ability ppp long term youre able even plan futuristically community society truly provide comfort knowing taking necessary steps beginning youve procured best person negotiated solid contract going govern asset resource quite long period time know need project benefit community years come,44,rwa-int-pe_2022_2_9
"what are the costs and benefits of pursuing ppp, especially for lab diagnostic at this stand? ",think supportive initiatives made ensure first legal framework date actually business needs society also provided different categories ppps used structured really provides clarity partners would say legal framework supportive relevant looks different scenarios highlighted key sectors economy instrumental helping people facilitating even better service delivery country,45,rwa-int-pe_2022_2_9
and the next question something that have a legal background so how supportive is the existing policy legal and regulatory framework for ppps.,think lot resistance beginning especially new law policy introduced definitely reservation choosing use structured mean going current steps provided law people thought lengthy thought would really take lot time might even maybe push away private sector thought people lose interest see extensive process,46,rwa-int-pe_2022_2_9
so based on your experience how much resistance do you see among policymakers to ppp?,im sorry maybe dont understand question flexible mean change another model,47,rwa-int-pe_2022_2_9
and how flexible is the ppp to changes for example in government priorities.,may bit tricky especially said taken right processes according law may bit difficult might terminate start afresh choose another option parties decided,48,rwa-int-pe_2022_2_9
"yes, yes",say different model mean financial model instance decided build transfer ppp instance want change maybe joint venture kind change youre talking,49,rwa-int-pe_2022_2_9
"okay, so if we want to change something in the ppp, because we came up with a model and then we realized that maybe we should refine it and changes to a certain different type of model. so that means that will need to terminate it first? ",okay important thing clear youre calling ppp youre calling privatization youre calling sale careful mix terms law clearly provides categories contracts niche agreements would fall ppp think four five double check theres build operate thatâ€™s may government allows build asset allows operate build transfer end specific term asset sent transferred back governmentwe management agreements well lease operate develop government lease asset operate develop point yeah bring something like privatization strict sense means youre relinquishing ownership rights asset youre giving away completely private sector forever youre going come back say know give back asset theyve paid private sector owner privatization thats completely different ppp,50,rwa-int-pe_2022_2_9
"all changes especially here for the lab diagnostics so they have different models so some models where they were proposing for example, co-management between the government and the private partner, and the model all where we will just decideto go for privatization.",case co management know wouldnâ€™t go ppp process provided law think thats something either hospital moh rbc maybe put tender looking comanagers get pool interested people select get separate co management agreements would pretty much take ordinary contract arrangement opposed ppp thats detailed go feasibility study process clearance sort thing coming back question change would make sense lease operate develop example beginning thats parties agreed negotiated,51,rwa-int-pe_2022_2_9
"i read the document and looking at the description and characteristics, it looked like the new that one the lease operate and develop. give the lab sector, the lab network to a private partner that has expertise in how to manage these labs. the different labs that we have in the country. and that question that company that private partner will operate these labs but also develop for a certain period of time.was co-management so that the government will have some responsibilities with, and the private partner also will have some responsibilities.",havent seen parties switch nature contracts especially ppps theyve really taken lot time negotiate beginning really tried factor risks know possible mishaps know many things gone process bit hard tell someone change havent seen practice time,52,rwa-int-pe_2022_2_9
"all the other way around coming from the management, this lease, operate and develop, so you have never seen that.",havent seen many ppps health theres one hoping take effect still feasibility study stage looks promising taken quite long time developing feasibility study went process provided law expected feasibility study done approved contracting authority submitted steering committee progresses contract negotiationbut rest contracts seen health know theyre outside ppp format youll management service contracts know public sector private partner,53,rwa-int-pe_2022_2_9
"historically, how the public and the private sectors are focusing on health, how have they interacted in the past years?",mean private public,54,rwa-int-pe_2022_2_9
"and the collaboration between two partners how do you find it? is this like they trust really each other, does the relationship really smooth between the two partners.",think theres lot good faith parties theres lot collaboration think area partners willing explore willing get business think good think positive,55,rwa-int-pe_2022_2_9
"yes, the private and the public sector, especially in health.",either one ive seen youre talking ppp according law clarity,56,rwa-int-pe_2022_2_9
"so, you said something that i want us to better understand you said that the most of the contracts for the health sector are out of the ppp.",well maybe also reading current law called implementation law number 142016 second may 2016 governing public private partnerships passed 2016 2017 believe let pull exact definition may clear get go,57,rwa-int-pe_2022_2_9
"okay. so, can you tell me according to the law, what is a ppp, just for me to better understand?",seen yet idea,58,rwa-int-pe_2022_2_9
"thank you, this makes things more clearly.",havent dealt particularly speculate would assume thats something negotiate agree management workthats think,59,rwa-int-pe_2022_2_9
"yeah. the next question is, how health system governance arrangements affect the design of the ppp, you know, i think it's also applicable to the administrative governance that then the governance in general that we have in rwanda,",yes would advise,60,rwa-int-pe_2022_2_9
"especially if you are implementing the ppp and you have this different level of decisions. who is going to be held accountable if it's a ppp that is going to be implemented at the lower level, and you have these two layers of decisions?",dont know answer,61,rwa-int-pe_2022_2_9
"yeah. so, meaning that one when you are working on the ppp this is something that you should plan ahead and negotiate and set it clear.",,62,rwa-int-pe_2022_2_9
next question is asking. maybe you may not have much information about that. but we are looking at investments and interest from the government in lab diagnostic.,really varies forestry agriculture tourism ict energy mining mention,63,rwa-int-pe_2022_2_9
"so you've been working in different sector except from the ppp that you were just mentioning that is currently ongoing, have you worked on any other ppp in the health sector before?",havent seen many people health sector genuinely theone hoping materializedbut said thefeasibility study stage,64,rwa-int-pe_2022_2_9
so you've been working mainly in which sector.,sometimes still negotiate wont go instance ppp steering committee likely feasibility studies done pertinent ppp project must feasibility study,65,rwa-int-pe_2022_2_9
"is this because there are few people in health sector or, because maybe by chance you just don't work in health.",align ministry ministry health might want ministry finance case budgetary financial contribution guess dont know else ministry health technical parties would good well maybe rbc well depending objective,66,rwa-int-pe_2022_2_9
"okay, interesting. but then, all the service contracting,so that means that this doesn't go through rdb, no.",would depend project objective,67,rwa-int-pe_2022_2_9
"so, okay then for a ppp who are the stakeholders that should be involved, when you're developing a ppp. let's say we have this ppp in health, what are the key stakeholders that should be involved.",im sure think would decision centralized level decide would need purposes developing ppp discussion,68,rwa-int-pe_2022_2_9
no any other like government institution?,mean driving ppp mean process actual implementation project,69,rwa-int-pe_2022_2_9
"so yeah, and do you have for example this one was around laboratory diagnostics. so what about the health facilities should they be also involved in developing the ppp",think would really depend ministry would lead technical part would come district dont know whoever feel necessary purposes project might instrumental reviewing feasibility study findings develop private partner give feedback think maybe crucial role play definitely provide technical input contract negotiation,70,rwa-int-pe_2022_2_9
"but then, when we look at these key stakeholders. what is their influence in driving the ppp?",come point contract negotiation thats also provided another look role,71,rwa-int-pe_2022_2_9
"the process, because we are still at this phase of the process. so especially when they are designing the ppp and when it comes to negotiations.",lead negotiations help draft conduct meetings review take project documents internal approval processes ensure parties concerns catered try get best positions party ensure thatâ€™s reflected document,72,rwa-int-pe_2022_2_9
"and what about rdb you didn't list, actually it's now, rdb before the key stakeholders, when you're developing the ppp shouldn't rdb be there?",think would defer investment court sure benefits provided generally incentive would enticing investors sector generalyou corporate income tax holidays immigration incentives might also input duty incentives permitted certain incentive importing equipment certain amount think things would drive private sector interest thats government done create favorable investment climate particular reasons would defer investment court definitely think research definitely look incentives dedicated health sector get idea would drive private sector involvement,73,rwa-int-pe_2022_2_9
"and doing now, contract negotiation. what is your role?",think drawbacks iâ€™m speculating im sure,74,rwa-int-pe_2022_2_9
"and then, so how based on your experience with other ppp how interested are private partners to participate in the ppp. for instance what are their incentives to participate, what are their drawbacks?",think health sensitive sector think one predominantly historically led governments people centric careful manage service know things like education health almost put category theyre particular handled think know bit may reservation bit know sectors also evolving time telemedicine coming many innovations health sector coming well another thing government done also move times ensure facilitating innovations thats im saying look incentives know theyâ€™re really encouraging innovators investors health sector various sectors drawbacks would pick sensitivity sector may create level drawbacks know people getting creative every day,75,rwa-int-pe_2022_2_9
and then what are the drawbacks?,would based findings feasibility study inform design itthats would say depends findings financial technical viability looks like look partiesâ€™ strength decide format law would make sense,76,rwa-int-pe_2022_2_9
there is no problem it's based on what you learned.,think would informed still feasibility study show viable project youll able determine sustain itdo need take loan going finance enough equity know things youre going look kind equipment youre using management costs related something sustain think feasibility study take good time develop informs might bring information implement project correctly sustainable manner,77,rwa-int-pe_2022_2_9
this is the last question for you. how the ppp could be designed to achieve scale up and sustainability.,thank,78,rwa-int-pe_2022_2_9
"and then for sustainability when we go for ppp we want something that will actually address the challenges the issues that we have in whatever systems we're working with, if someone wanted to get working on a ppp in whatever sector. so what would you advise especially for the sustainability component? what should we look at? ",go back little bit actually going ask spoken dm nrl,79,rwa-int-pe_2022_2_9
"so, this is the last one, but this is for you actually so if there is anything that you would like to add on what we have discussed.",yeah actually first time participate anything ahdp course ppp projects abbott others participated first time ahdp think im right person donâ€™t know,80,rwa-int-pe_2022_2_9
"thank you for your time. and we're very glad that you've been able to find some time to discuss with us. and this will help this evaluation, and it will be really helpful for us to understand better the ppp process and ppp implementation at the country level, that will help also this evaluation that we are doing for the ahdp project.",okay,81,rwa-int-pe_2022_2_9
so the first question that we have for you is to ask you to describe your involvement in this ppp process for the ahdp. at what point where you involved?and what were you doing? what was your role?,think know assessment done,1,rwa-int-pe_2022_02_10
division manager?,understand,2,rwa-int-pe_2022_02_10
"so, we talked with the division manager, we had also plan to talk with the former head of department of biomedical services.",okay understand right may go ahead,3,rwa-int-pe_2022_02_10
"so, the ahdp, maybe i can give you more details in 2019 i think chai was the technical assistance for that particular ppp. so this was a ppp that was supposed to be financed through the european investment bank, they had some funds for that and then, chai was providing technical support, they worked with the nrl team, and as well as the ministry of health team.first of all, they did some assessment of the situation at that time, to see what the challenges that we have are in the lab diagnostic system.",like said years back 20182019 gap seen lab networks assess available resources distribute equally optimize improve services laboratories across hospitalsso remember first time involved preparation technical documents need assessment invited meeting provide biomedical engineers support program someone assigned person participated whether site visits hospitals collection data development reports moved forward also participated workshop approve validate final proposals outcome surveys think involvement process,4,rwa-int-pe_2022_02_10
"from there they did, i think a feasibility study where they came up with the different options for the ppp that went from, i think sample transportation, then they started with something like co-management, privatization,they had a lot of discussions around that. so, the questions that we have here ask your involvement. this will depend on your involvement actually in the process. ",know rubavu would check,5,rwa-int-pe_2022_02_10
"so then to clarify that it would be interesting for you to explain to us what your real role at what were you involved? what did you do exactly?did you have like a specific role at the forefront, or were you more like at the back, something like that. yeah.",one happened kigali may hotel remembering name exactly itâ€™s also validation,6,rwa-int-pe_2022_02_10
"okay, so can you describe your involvement in this ppp process.",yes thats case think rubavu one nsp wasnt laboratory national strategic plan,7,rwa-int-pe_2022_02_10
and can you remember when this workshop happened?,think got many think correct answer,8,rwa-int-pe_2022_02_10
"was it last year, or 2020? and you were talking about the workshop where you were invited for the validation of the findings in rubavu.",yes assigned biomedical engineer charge laboratory equipment management person participated process well,9,rwa-int-pe_2022_02_10
"okay, and actually chai was the one leading, organizing and presenting the results of what they did.",yes engineeryeah currently still position,10,rwa-int-pe_2022_02_10
the rubavu one?,yeah sure feel free,11,rwa-int-pe_2022_02_10
"okay. so, you told me also that someone from your department was involved in working with the team when they were working on the needs assessment, right? ",dont think provide much details really involved ppp negotiationswhat know process usually goes rdb depends terms depends responsibilities party really didnt participate actively development ppp,12,rwa-int-pe_2022_02_10
is he still working with rbc?,much,13,rwa-int-pe_2022_02_10
"okay, maybe we'll reach out to him also.",findings thats correct,14,rwa-int-pe_2022_02_10
"thank you. so, the next question we want to better understand how the process of negotiation of the ppp. how did it go? if you can describe how the process was undertaken.",assessment yeah findings need assessment proposal redistribution ensure optimized service delivery didnt go next steps,15,rwa-int-pe_2022_02_10
"and then, if we talk about now the different models that came out of, you know they did the feasibility study presented at the end, some models. so were you involved during the discussion around these models which one should we, for example, implement versus another? did you participate in such meetings?",mostly identifying different systems one system installed used optimally whether services needed another hospital health facility could use system identify placements proposed redistribution equally,16,rwa-int-pe_2022_02_10
so the one you went at that hotel was just validation of the findings.,dont think thats asking spoke dm would much informed otherwise didnt really follow validation,17,rwa-int-pe_2022_02_10
findings of the need assessment? ,technical part participate even engineer mentioned,18,rwa-int-pe_2022_02_10
okay. and what if you don't know if you still remember these propositions of redistribution. what did they exactly presented ? ,share contacts maybe also tell,19,rwa-int-pe_2022_02_10
"yeah, the equipment that were available in the system. you said that you didn't participate in the discussion around the selection of the model to implement especially when they were discussing the ppp design because we wanted to know, how it happened during the discussion and what were the sticking points you know those points where people are discussing a lot, and not agreeing?",really,20,rwa-int-pe_2022_02_10
"what were those points and then how were they resolved. if you didn't participate, then it's going to be difficult to answer that. but i think you are aware of what was going on and i would like to know if you knew the institution or individuals involved in the design of the ppp.",really,21,rwa-int-pe_2022_02_10
"oh, okay. actually, we talked to him but we wanted to talk to as many people as possible to gather more information.so then, after the meeting that you attended for the needs assessment for the rest of the activity who was involved, or even for him he wasn't involved in the discussions, especially on the design of the ppp.",except documents shared hadnt heard ahdp,22,rwa-int-pe_2022_02_10
okay,well itâ€™s difficult question broad think ppp possible lab diagnostics especially providing specific equipment manufacturer provide machine pay test reagents procured theres another way outsource tests supposed done lab outsourcing mobile lets say quick people quickly intervene serve population even find patients home instead moving hospital lab know possible done countries well established laboratories government outsource testing even high containment requirements testing could interesting see rwanda definitely solve issues exist currently,23,rwa-int-pe_2022_02_10
"you said that your involvement was at the beginning, when you had to provide technical details and then to help in the needs assessment. so, i was asking when the feasibility study was available with the different ppp designs or models that were proposed, were you not involved or attended in any meeting where they presented these designs?",imagine,24,rwa-int-pe_2022_02_10
we see then you haven't heard about anything about a ppp for the lab network. i was actually looking at the questions that we have based on your feedback.,somehow address important issues availing reagents time also plan together payment ahead time bit limiting well case dont perform well delay always wait person handle tests also choose perform well limit expertise think case promised services provided written contracts pros cons ppp exists already would say comparing nonppp contracts equipment far better currently ppp far better depend buy equipment one one,25,rwa-int-pe_2022_02_10
"you didn't have any information about this ahdp-ppp. so nothing about, no discussion around the co-management that they proposed at some points or about the privatization.",extent yes beginning management contract also renewal,26,rwa-int-pe_2022_02_10
"okay. so let's then keep it in general, based on your knowledge of the lab network that we have and then as a biomedical engineer, you know, so the equipment that we have, would you thinkfor example how should an ideal ppp accommodate the needs of priority population for example if we have to designa pppfor public private partnership in lab diagnostic, how should it be designed so that we accommodate the needs of our priority population like the poorest households , andpeople with very complicated diseases.",first one maybe ensure terms beneficial sides equally signature one must ensure services offered continuously quality quantity safe manner also saw less capacity building ppp system would definitely focus capacity building hospitals benefit supplier client terms someone small repairs preventive maintenance troubleshooting services delayed stopped supplier would still keep important difficult services handle would say would look terms carefully benefit parties especially people field,27,rwa-int-pe_2022_02_10
"so, it's very difficult when iâ€™m looking at keeping it general not going into this ahdp-ppp ",would say important patient beneficiary theyre ones receive services services best get time also providing full information would also think hospitals clinicians good network good machine full best options operational advantage much important network,28,rwa-int-pe_2022_02_10
"yeah, when you look at the ppp that we have currently let's use the ppp that we have currently in place in rwanda. do you think that they address the real needs of the people, and if no, what are the areas that we can improve and how can we improve those areas?",would say wish benefit patient still ones benefits time satisfy clients ppp solving problem terms quality terms time servicesbut consider contractor partner consider government partner think stake ensure provide services satisfaction party,29,rwa-int-pe_2022_02_10
"and then, were you involved in other ppp for example the ppp with abbott",institution,30,rwa-int-pe_2022_02_10
"and then, what can we learn from this experience? what are the main lessons that you learned from or still learning even from this ppp?",depends point view coming im speak government employee would say depend benefits government gettingand case think one threatened added value people government improvements reducing investments done irregularly problem giving full services want solve problems delay,31,rwa-int-pe_2022_02_10
"when you do a ppp like this, were there key stakeholders and why were they involved?",yeah rwanda lots companies think 10 supplying lab equipmentbut 10,32,rwa-int-pe_2022_02_10
"so, the next question is about we are looking, we want to know who benefits the most when there is public-private partnership lab diagnostic who do you think benefit the most?",yeah different types equipment lab equipment,33,rwa-int-pe_2022_02_10
"yeah, i was asking this question because the next one is really to try to understand is there anyone or any institution that can be threatened by the fact that the government is going into partnership with a private actor in the lab diagnostics? ",mostly lab see ppp happening big equipment require lot reagents ones often used ones accept ppp kind contracts also portfolio required smaller companies smaller firms dont like wait prefer sell leave mostly big equipment require lot reagents backed important portfolio,34,rwa-int-pe_2022_02_10
yes,incentives two kinds incentives one maybe details one provided rdb company coming invest rwanda important portfolio incentives taxes investment canâ€™t give details dont know us rbc nrl mostly provide support need might provide space install machines even way work different possibilities discussed one comes mind availability infrastructure space work fromand course planned together gave support technically need,35,rwa-int-pe_2022_02_10
"okay. do we have many suppliers of lab equipment? apart from abbott, and roche, do we have others?",think know government rwanda works different development partners budgets provided world bank global fund cdc think going continue point course cant attest continuing make inquiries contact new development partners wouldnt say final list main ones,36,rwa-int-pe_2022_02_10
they are more than 10?,know national laboratories presently improving services able monetize services well privatized get incomeso thats one way increase funds used lab also local partners potential partners available saw covid lot rwandan companies responded call support technically financially provided donations also partnership good see potential well local companies local institutions also course nrl activities,37,rwa-int-pe_2022_02_10
"and the next question is about private partners, and if there is a ppp so how interested are private partners in participating in ppp, we want to understand what the main questions are when it comes to participating in the ppp. so what are the biggest incentives to participate in the ppp, and on the other hand what are the drawbacks for them?",maybe one example covid19 testing services theyâ€™re generating income,38,rwa-int-pe_2022_02_10
when you say important portfolio what do you mean exactly? ,really want thank involving would happy answer follow question,39,rwa-int-pe_2022_02_10
"that can be able to recruit local representative after installation those that can even bring reagents in advance and be ready to supply at a moment notice, and contracting with the government means that there will be emergencies. let's say if there's an estimation of the quantity that is needed, there will be always surplus or less. so, someone who was able to be flexible and is not threatened by small limitations or small challenges and can be able to have trained technicians who are ready to support technically for the maintenance repairs and everything at a moment notice. and also, most of them do not have replacement equipment, they can't afford to have equipment to supply once one is broken.",thank dr involvement ppp project firstly sector level ministry health partners dealing public private partnership projects usual sectors diagnostic better improving quality service laboratory thought also public private partnership improved care involvement project lead coordinating teams project ministry health partners rbc also rdb ive coordinating work day right feasibility study showed us areas improvement quality service delivered laboratories currently need ppp model role coordination role ministry level,40,rwa-int-pe_2022_02_10
"so, yeah, that's interesting. so what you have listed may be considered as drawbacks for some of the potential private partners that wants to engage in ppp.but then what are the incentives for them to come and work with you as the government what will motivate them, what are the different factors that can motivate them to participate?",said first problem statement going ppp issue improving quality care delivery services laboratories public hospitals line also national reference lab happened years back realizing inefficiencies issues deliver quality care testing result delivery good time leaders thought improve decide feasibility study support obviously different partners rdb want bring public private partnership involve rdb talk minister wanted improve quickly feasibility study see would call like situation analysis done improve done know quality care achieved feasibility study showed different six issues laboratory facing hospitalsi cannot remember tell one delayed results delivery samples taken patientsampling site diagnosis made results delivery good one six recommendations let us improve sample transportation delivery results time another one also improve management could make money also capacity staff know sit back say okay faced cannot take six recommendations go go first pressing country maybe laboratories say lets first deal sample transportation would start piloting phase ppp see produce negotiation around first implementation recommendations feasibility study phase one sample transportation ppp thats negotiation started start start piloting six months implementing sample transportation would transition full comanagement full ppp managing whole laboratory services plan actually results assessment first ppp negotiation thats,41,rwa-int-pe_2022_02_10
"what are, or, could be the plans in place to support public sector financing of diagnostic? so, for example, we have different sources of funding in rwanda for the health sector, what are these sources of funding that are expected to be used for financing the lab diagnostic? so now we have some source of funding but in the future, are we thinking about other source of funding?",yes yes sample transportation,42,rwa-int-pe_2022_02_10
"yeah, and then locally, if you think about domestic resources, they need plan on how to leverage on these domestic resources to increase funding for lab diagnostic to support just like lab diagnostic in the future?",second would full comanagement like lab comanagement like private person would take staff hiringfiring new equipment supply chain would transitioned private partner even though would transitioned full comanagement still moh rbc would oversight coordination actually partner taking,43,rwa-int-pe_2022_02_10
"so, you were saying that nrl is improving services to generate more incomes. so, can you give more details on that? so, what are they exactly doing and these incomes come from people who are using services and which services exactly?",thank,44,rwa-int-pe_2022_02_10
"okay, so we tried to give the conversation, broad on ppp in general because based on your feedback you were not involved in the ahdp- ppp design process. ",say let start facility selection like project look like let focus first phase talked partial organized sample facilities explain address question facilities selected first looked facilities different hospitals health centers different provinces country according geographical distribution select made us choose hospitals looked first volume volume samples get hospitals secondly catchment area nearby laboratory struggling specialty laboratories lab tests done,45,rwa-int-pe_2022_02_10
and so is there anything else you would like to discuss or add to this discussion on public private partnership in the lab that we did not discuss but you think that this is something important that we should know.,yes actually criteria selected satellite labs way project designed could satellites labs like call sampling sites think like hubs lab samples brought satellite siteshubs collected hubs tested results given back samples wouldnt tested satellite labs theyre transported national lab selected like used hubs provinces criteria number two catchment area talked attached every hospital considered catchment areas surrounding health centers within hospital think around 59 centers six hospitals dont remember numbers well dont numbers sorry hospitals must catchment area thatâ€™s health center also considered,46,rwa-int-pe_2022_02_10
"okay, thatâ€™s good. thank you. thank you very much for taking your time to discuss these ppp and also thank you for being open to any follow up questions in case we have.",yes brought hospital one satellite lab make called hub,47,rwa-int-pe_2022_02_10
"so, i will start with the first question asking you to describe your involvement in the public private partnership process, and the african has the diagnostic platform in rwanda.",saw along areas negotiation providers rbc side looking would ppp would look like sample transportation private person coming laboratory would lab separable hospital worries bringing private person operating public hospital quality management would assured discussed according design settled team framework prepared tackle central coordinated transportation trucking also trucking delivery samples return result worry discussed cleared thatâ€™s worry number one worry number two expensive means bringing ppp private person bring increased costs test yet mutuelle health insurance cover increase cost tests thought going considered ppp model agreed discussion rssb see caterer however considered minimal like increment small transportation cost samples needed show profit returnof investment government rwanda going get ppp instead like working status core working thought government canâ€™t invest improving quality laboratory services know better problem change status core instead bringing private person discussed financial analysis caches looking gains ppp model bring growth shared private government rwanda ppp timeline realized would take us long time much investment change status core,1,rwa-int-pe_2022_02_08
"thank you, i saw that you have been well involved in ahdp at the highest level at the ministry of health. and also, you were in charge of coordinating these efforts. ",yes talked peripheral laboratories make satellite laboratories rbc one reference lab national reference lab look improved transportation peripheral laboratories satellites whereby need someone gisenyi saying bring samples kigali,2,rwa-int-pe_2022_02_08
"so, my third question that will be about the ppp design exactly? so, what was the process of negotiation over this ppp?",oh great tell stakeholders thiswe minister health taking lead coordination rbc like implementing actually like backbone ppp project take care laboratory services chai like development partner like giving us technical support led feasibility study consultants,3,rwa-int-pe_2022_02_08
that ppp was the partial ppp.,minecofin yet involved,4,rwa-int-pe_2022_02_08
the sample transportation would start first ? what was recommended next? ,yet involvedthis early discussion could agree model would go pay health insurances pay patients clientsminecofin terms budgetif ppp approved technical level,5,rwa-int-pe_2022_02_08
"oh, thank you very much for this response.",right chai one bill melinda gates used pass money aspect finance also giving technical support dual role chai like really supportive like giving guidance technical discussions supportive facilitated looked actually facilitator irrespective financial aspect,6,rwa-int-pe_2022_02_08
"how did this process vary by topic? if i can say so for example facility selection the procurement model contract type, including the referral network.",thank would say like told six recommendations feasibility study improve quality laboratory services six recommendations grouped two phases per guidance moh choose phased implementation plan result recommendation,7,rwa-int-pe_2022_02_08
"okay six hospitals from different provinces. yes. well, except the kibagabaga i see those other hospitals with these satellite labs. ",yes lot done improve testing capacity improve transportation,8,rwa-int-pe_2022_02_08
"so, the sample were transported from the health centers also?",champion think rdb rwanda development board people give guidance people actually even steering committee ppp go like support transport hey champions,9,rwa-int-pe_2022_02_08
"that's very good. oh okay, what were the sticking points around the ppp design, and how were well they resolved.",yeah proposed started engaging policy level involve everyone call innovative way ppp another way addressing issues came rbc,10,rwa-int-pe_2022_02_08
"for the investment done in the lab, especially were caused by covid-19. so, what was the key point, was it like to see what will happen with this investment?",actually course negotiations discussions came improve public laboratories without involving ppp worried separate hospitals laboratory worry,11,rwa-int-pe_2022_02_08
"thank you very much. thatâ€™s was very informative. so, who has been involved in the initial design of the ppp?",yeah think means learn improved come learn,12,rwa-int-pe_2022_02_08
"what about minecofin,",rbc side worried hospitals yet engaged never engage policy level yet agreed model,13,rwa-int-pe_2022_02_08
what about the health insurance.,steering committee ppps go steering committee country level composed rdb moh minecofin ppp initiatives approved steering committee,14,rwa-int-pe_2022_02_08
"okay! you said that the chai was helping in the technical aspect, especially for feasibility study.but also, the chai was as the ministry of health development partner. on the other hand, biding for these ppp. so, having this kind of financial aspect. what do you think about that?can you elaborate a little bit of this aspect of market? ",people international dont know check know,15,rwa-int-pe_2022_02_08
yeah. thank you very much so.,institutional level,16,rwa-int-pe_2022_02_08
"if i understand well, the cutoff point was investment done during the covid-19 ",think ive repeating options wanted like operate five years transfer back laboratory government public ownership im familiar terms kind management hands private partner five years five years transfer back facility laboratories government rwanda dont know call ive seeing terms thats whats option proposed,17,rwa-int-pe_2022_02_08
"so, have there been any champions, supporting the ppp? who has been championing the ppp in rwanda?",yeah sure,18,rwa-int-pe_2022_02_08
"i do understand the rdb is championing all ppp because itâ€™s their mandate. but, regarding ppp in laboratories, who is the champion who brought the idea to the table to be discussed, did this come from rbc?",yes,19,rwa-int-pe_2022_02_08
"have there been any other actors, trying to propose the opposite direction from the main actors working in the ppp.",yes thatâ€™s project built,20,rwa-int-pe_2022_02_08
"and in india and kenya again, i think there were good results.",sort complicated complicated appropriateness comes country local context want rwandaâ€™s case good way already wanted proposed thatâ€™s went feasibility study think africa diagnostic health platform mandate work local context ppp welcomed fitting need,21,rwa-int-pe_2022_02_08
"these ideas to not separate lab from hospitals were they coming from the implementers such as the hospitals, or policy makers?",know rwanda ppp guideline already legal aspect think context welcomes ppp model,22,rwa-int-pe_2022_02_08
okay! thatâ€™s very good.,start poor like rightly mentioned people covered mutuelle cbhi ppp testsout specialty testwere supposed taken care already covered copayment would come categorization number three vulnerable poorest covered government rwanda subsidiaries covered meaning even ppp accommodate existing structure,23,rwa-int-pe_2022_02_08
"so, which institution would have been ultimately responsible for approving the ppp design?",access number one key recommendations opted sample transportation phase one addressing access wanted timely access laboratory sampling testing already addressed ppp model,24,rwa-int-pe_2022_02_08
"rdb, moh, minecofin",told coownership improve supply procurement supply affordability cost covered insurance negotiation insurance cbhi think ive addressed affordability availability two,25,rwa-int-pe_2022_02_08
i think there is minefra also,efficiency quality mentioned setting controls samples taken delivered lose samples way also addressed monitoring platform proposed centrally monitored rbc moh partner address quality efficiency actually needed timely costeffective model would changing status core seen inefficiencies wanted eliminate inefficiencies also design considered,26,rwa-int-pe_2022_02_08
"what options were there? or, are still being considered on designing the model?",dont think already model started im confused think dont yet proposal,27,rwa-int-pe_2022_02_08
"so, the contracting options are like so.",dual like supporting finance side would conflict interest actually expect professionalism looking want quality diagnostic services africa selected countries look living finance control nothing happen without finances also platform support technically advise technically independent looking worth would work best us effect positive way around push us see people declaring conflict interest dont know would work situation,28,rwa-int-pe_2022_02_08
if i understood wellthe private would have everything to manage,actually think straightforward case support ppp side ahdpso support would mean success ppp think would valuable ahdp supporting ppp come existence think facilitation positive ppp exist,29,rwa-int-pe_2022_02_08
and the government would oversee and then they transfer everything over five years.,look evaluation need evaluations point implementation would hard dont evaluator think would affected could platform supporting ppp also technical support facilitation along process ppp key experts,30,rwa-int-pe_2022_02_08
"and how appropriate is the design of african health diagnostic platform the ppp to the local context,",thank firstly mentioned earlier last statement mentioned technical support know stakeholders project need capacity take lead ppp discussions also design im looking ahdp starting starting phase guidance support discussions also cannot come evaluation really supported project understand cant design evaluate also sort technical support needed along project design develop improved capacity stakeholders project thats view look technical support,31,rwa-int-pe_2022_02_08
"so, at the levels of policy legal framework. there was one? was it fitting all these levels?",im clear maybe simplify,32,rwa-int-pe_2022_02_08
"so how would an ideal ppp design accommodate the needs of a priority population such as broadest household? there are complicated patients for example the comorbidities, the chronic conditions, how the ideal ppp design addresses the special need of mutuelle about the poorest households, the 25% of households whose mutuelle is paid by government.",oh much support ppp actually allow private investment health terms domestic resource mobilization health discussions initiatives african leadership meeting domestic resource mobilization look ppp one way investing increasing private investment house country look policy regulation mentioned earlier also existing ppp guideline allowprivate public partnership models coming health sector,33,rwa-int-pe_2022_02_08
